le mien
la mienne
les miens
les miennes
le tien
la tienne
les tiens
les tiennes
le sien
la sienne
les siens
les siennes
notre
notre
nôtres
votre
votre
vôtres
leur
leur
leurs
me
m
te
t
se
s
nous
vous
je
tu
il
elle
on
nous
vous
ils
elles
