verbe
suis
ai
fais
vais
dis
peux
veux
sais
vois
viens
prends
mets
dois
trouve
donne
parle
aime
passe
regarde
crois
laisse
demande
arrive
pense
connais
entre
travaille
comprends
reste
porte
rends
commence
attends
sors
vis
écris
lis
entends
cherche
cours
appelle
ouvre
ferme
montre
garde
continue
utilise
décide
essaie
oublie
compte
réussis
perds
explique
tombe
apporte
choisis
écoute
réponds
envoie
conduis
mange
bois
dors
achète
paie
joue
marche
pose
monte
descends
rêve
danse
chante
ris
pleure
aide
apprends
enseigne
répare
arrête
déteste
profite
dîne
déjeune
cuisine
nettoie
range
prépare
change
amène
emmène
revends
vends
part
revien
retourne
vole
nage
crie
chuchote
raconte
imagine
doute
refuse
accepte
reçois
prête
emprunte
tiens
lève
jette
ramasse
ôte
allume
éteins
finis
termine
rate
saute
dessine
peins
construis
es
est
sommes
êtes
sont
as
a
avons
avez
ont
vas
va
allons
allez
vont
disons
dites
disent
prenons
prenez
prennent
mettons
mettez
mettent
venons
venez
viennent
peut
pouvons
pouvez
peuvent
veut
voulons
voulez
veulent
apprenons
apprenez
apprennent
lisons
lisez
lisent
relisons
relisez
relisent
écrivons
écrivez
écrivent
comprenons
comprenez
comprennent
